LapDistanceNorm,Source,Speed,Throttle,Brake,Time_seconds,Distance,RPM,X,Y,Gear,DRS,Time_from_start
0.0,HAM,237.9833344,100.0,0.0,0.0,0.07950902177060026,11172.6375552,54.468389354704335,207.6803647317801,6,8,0.0
0.001001001001001001,HAM,239.26697137436707,100.0,0.0,0.07701828246202547,5.2358103084572,11239.065768623497,59.56687974768068,208.33361701359735,6,8,0.07701828246202547
0.002002002002002002,HAM,240.83368843101928,100.0,0.0,0.15434753724077122,10.4716206169144,11313.682290964849,64.71994706802751,208.97269803923305,6,8,0.15434753724077122
0.003003003003003003,HAM,242.75429983770056,100.0,0.0,0.23117199350802248,15.7074309253716,11398.189192858825,69.86183208357257,209.5973126941874,6,8,0.23117199350802248
0.004004004004004004,HAM,244.6714406936986,100.0,0.0,0.3078576277479438,20.9432412338288,11482.543390522738,75.00565782080965,210.21657304425605,6,8,0.3078576277479438
0.005005005005005005,HAM,246.38027915876944,100.0,0.0,0.38381674952616657,26.179051542286,11559.823818359087,80.16341375637688,210.8086277156033,6,8,0.38381674952616657
0.006006006006006006,HAM,247.6403200382928,100.0,0.0,0.4594192022975688,31.414861850743204,11622.195841895495,85.3348859998258,211.38881265471164,6,8,0.4594192022975688
0.007007007007007007,HAM,248.89763594557044,100.0,0.0,0.5348581567342259,36.650672159200404,11684.432979305737,90.51211364895629,211.9672534354763,6,8,0.5348581567342259
0.008008008008008008,HAM,250.14730217912347,100.0,0.0,0.6098381307474078,41.8864824676576,11712.154177854749,95.70451876785302,212.5420947025671,6,8,0.6098381307474078
0.009009009009009009,HAM,251.38939082575968,100.0,0.0,0.6843634495455809,47.122292776114804,11485.783522005297,100.90564946631378,213.121723755803,6,8,0.6843634495455809
0.01001001001001001,HAM,252.6274222493993,100.0,0.0,0.758645334963958,52.358103084572,11260.152295046977,106.10315875346112,213.7080901058962,6,8,0.758645334963958
0.011011011011011011,HAM,253.85783147454887,100.0,0.0,0.8324698884729322,57.59391339302921,11035.910213763469,111.29386459010348,214.30711363898752,6,8,0.8324698884729322
0.012012012012012012,HAM,255.34664353250784,100.0,0.0,0.9056388895603769,62.82972370148641,10902.537846105874,116.4566559301726,214.90940964378365,6,8,0.9056388895603769
0.013013013013013013,HAM,256.8649998039071,100.0,0.0,0.978519990587541,68.0655340099436,10781.373015648212,121.60401298843715,215.50897886481332,7,8,0.978519990587541
0.014014014014014014,HAM,258.3755975726244,100.0,0.0,1.0510286834859712,73.30134431840081,10660.827313704573,126.72966628030116,216.10274022530564,7,8,1.0510286834859712
0.015015015015015015,HAM,259.5295455011055,100.0,0.0,1.1233636400884404,78.537154626858,10618.413637015477,131.865213716273,216.69436855992063,7,8,1.1233636400884404
0.016016016016016016,HAM,260.4304945171894,100.0,0.0,1.195439561375154,83.7729649353152,10631.026923240652,137.0183532345722,217.2836307348011,7,8,1.195439561375154
0.017017017017017015,HAM,261.3276887687175,100.0,0.0,1.2672151014974007,89.0087752437724,10643.587642762046,142.19484378971376,217.87099494183903,7,8,1.2672151014974007
0.018018018018018018,HAM,262.2975648092975,100.0,0.0,1.3388538885578511,94.24458555222961,10667.655066857902,147.3697741157674,218.45715660591227,7,8,1.3388538885578511
0.01901901901901902,HAM,263.48262609081553,100.0,0.0,1.4099575654489338,99.48039586068681,10726.019334972667,152.53696085802838,219.03856378921319,7,8,1.4099575654489338
0.02002002002002002,HAM,264.6610171575069,100.0,0.0,1.4806610294504126,104.716206169144,10784.055095007214,157.69438854186754,219.61629647802664,7,8,1.4806610294504126
0.02102102102102102,HAM,265.83940822419817,100.0,0.0,1.5513644934518913,109.9520164776012,10842.09085504176,162.8518162257067,220.19402916684007,7,8,1.5513644934518913
0.022022022022022022,HAM,266.7587588661418,100.0,0.0,1.6217007092913485,115.18782678605841,10874.280283716538,168.05015003073152,220.77172835861825,7,8,1.6217007092913485
0.023023023023023025,HAM,267.6337614082534,100.0,0.0,1.6917009126602738,120.42363709451561,10902.280365064109,173.2808309841535,221.34880771186013,7,8,1.6917009126602738
0.024024024024024024,HAM,268.508763950365,100.0,0.0,1.761701116029199,125.6594474029728,10930.28044641168,178.5115119375755,221.92588706510202,7,8,1.761701116029199
0.025025025025025023,HAM,269.25519687298504,100.0,0.0,1.831623561535373,130.89525771143002,10964.884568600895,183.67265446254612,222.49696257583304,7,8,1.831623561535373
0.026026026026026026,HAM,269.8346453285021,100.0,0.0,1.9011573974405185,136.1310680198872,11007.763754309155,188.58574648584758,223.0505066462927,7,8,1.9011573974405185
0.02702702702702703,HAM,270.4140807185876,100.0,0.0,1.9706896663904063,141.36687832834443,11050.641973175483,193.49797643156103,223.60399734440125,7,8,1.9706896663904063
0.028028028028028028,HAM,270.9930917198678,100.0,0.0,2.040171006384132,146.60268863680162,11093.488787270215,198.421445808737,224.1593776069875,7,8,2.040171006384132
0.029029029029029027,HAM,272.12896014856926,100.0,0.0,2.108737608914156,151.8384989452588,11127.586564419937,203.5998377573223,224.75215880733862,7,8,2.108737608914156
0.03003003003003003,HAM,273.2716405798847,100.0,0.0,2.177298434793081,157.074309253716,11161.58130725157,208.7801492712744,225.34519641118436,7,8,2.177298434793081
0.031031031031031032,HAM,274.4143210112001,100.0,0.0,2.2458592606720065,162.3101195621732,11195.576050083204,213.96046078522653,225.9382340150301,7,8,2.2458592606720065
0.03203203203203203,HAM,275.11881866996663,100.0,0.0,2.3142692275906542,167.5459298706304,11217.51510945873,219.1551295048563,226.53032903323157,7,8,2.3142692275906542
0.03303303303303303,HAM,275.363067593132,100.0,0.0,2.3826589260769566,172.7817401790876,11226.796568539015,224.344703328293,227.12045647368257,7,8,2.3826589260769566
0.03403403403403403,HAM,275.6073165162974,100.0,0.0,2.4510486245632586,178.0175504875448,11236.078027619298,229.53427715172975,227.71058391413354,7,8,2.4510486245632586
0.035035035035035036,HAM,275.85082295443607,100.0,0.0,2.5192304272420913,183.25336079600203,11245.33127226857,234.71962700597,228.29962548329047,7,8,2.5192304272420913
0.036036036036036036,HAM,276.32570494465864,100.0,0.0,2.587164984732693,188.48917110445922,11267.393815547817,239.90172838376517,228.88652387776497,7,8,2.587164984732693
0.037037037037037035,HAM,277.1684190203056,100.0,0.0,2.654863069410032,193.7249814129164,11309.810424022047,245.0818426987797,229.47083506927,7,8,2.654863069410032
0.03803803803803804,HAM,278.0094644610589,100.0,0.0,2.722427055142645,198.96079172137362,11352.143044539966,250.26865728543237,230.0518034065176,7,8,2.722427055142645
0.03903903903903904,HAM,278.84835719109833,100.0,0.0,2.7898180394378933,204.19660202983084,11394.36731195195,255.4641159119503,230.6284591177962,7,8,2.7898180394378933
0.04004004004004004,HAM,279.45875827664923,100.0,0.0,2.8570510884214153,209.43241233828803,11420.579710204294,260.6668703333758,231.2124372615771,7,8,2.8570510884214153
0.04104104104104104,HAM,280.0184311126815,100.0,0.0,2.924211908834294,214.66822264674522,11443.246460063603,265.8704915185454,231.80233952024287,7,8,2.924211908834294
0.04204204204204204,HAM,280.5765561903068,100.0,0.0,2.991186818465739,219.9040329552024,11465.850525707427,271.070417030889,232.4136698674026,7,8,2.991186818465739
